aeroporto_partenza,mese,numero_ritardi_basso,dep_avg_basso,arr_avg_basso,numero_ritardi_medio,dep_avg_medio,arr_avg_medio,numero_ritardo_alto,dep_avg_alto,arr_avg_alto,cause_maggiori
ILM,9,591,-4.89,-10.12,57,30.89,26.67,41,120.46,118.41,"['Late Aircraft (53 voli)', 'NAS (45 voli)', 'Carrier (36 voli)']"
ILM,10,685,-5.32,-9.14,46,32.33,24.67,23,129.52,123.35,"['NAS (54 voli)', 'Late Aircraft (43 voli)', 'Carrier (26 voli)']"
ILM,11,573,-5.25,-8.43,46,32.57,27.96,21,115.19,124.29,"['NAS (59 voli)', 'Late Aircraft (38 voli)', 'Carrier (31 voli)']"
ILM,12,548,-4.09,-7.57,92,30.37,25.16,59,145.68,144.6,"['Late Aircraft (90 voli)', 'NAS (82 voli)', 'Carrier (72 voli)']"
IMT,1,36,-6.81,-7.25,5,25.8,29.4,16,206.88,203.81,"['Carrier (14 voli)', 'NAS (11 voli)', 'Weather (9 voli)']"
IMT,2,42,-7.43,-15.4,2,28.0,21.5,1,409.0,409.0,"['Carrier (3 voli)', 'NAS (1 voli)', 'Weather (1 voli)']"
IMT,3,44,-7.27,-11.36,5,37.6,34.8,2,282.5,255.5,"['Carrier (5 voli)', 'Weather (5 voli)', 'NAS (2 voli)']"
IMT,4,54,-8.41,-14.7,4,37.75,30.25,2,222.5,231.5,"['Carrier (3 voli)', 'Weather (2 voli)', 'NAS (1 voli)']"
IMT,5,54,-9.24,-14.31,4,36.25,31.0,3,183.67,173.0,"['Carrier (5 voli)', 'NAS (1 voli)', 'Weather (1 voli)']"
IMT,6,46,-7.0,5.04,5,31.2,28.6,8,164.13,170.88,"['Carrier (21 voli)', 'NAS (7 voli)', 'Weather (3 voli)']"
IMT,7,51,-6.25,-1.98,5,29.8,23.2,6,208.17,200.0,"['Carrier (11 voli)', 'Weather (1 voli)']"
IMT,8,49,-6.98,-9.84,1,20.0,27.0,8,136.5,132.75,"['Carrier (7 voli)', 'Weather (7 voli)', 'NAS (5 voli)']"
IMT,9,55,-7.24,-9.49,3,30.67,39.67,1,85.0,63.0,"['Carrier (4 voli)', 'NAS (4 voli)', 'Weather (1 voli)']"
IMT,10,51,-8.41,-16.65,1,38.0,26.0,6,151.0,143.83,"['Carrier (7 voli)', 'NAS (1 voli)']"
IMT,11,51,-7.53,-12.98,2,27.5,7.5,5,209.0,196.4,"['Carrier (5 voli)', 'NAS (1 voli)', 'Weather (1 voli)']"
