aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
SAF,OO,2672,13.97,10.09,1.6,-0.34,1
SAF,MQ,102,23.13,21.83,2.0,8.83,2
SAN,AS,9939,8.93,9.10,2.8,-4.09,1
SAN,UA,9768,9.69,5.87,2.1,-3.33,2
SAN,OO,12330,10.32,11.68,0.9,-2.70,3
SAN,DL,9096,11.22,6.11,0.7,-1.80,4
SAN,NK,2865,12.91,9.91,2.0,-0.11,5
SAN,WN,33974,13.86,9.11,0.9,0.83,6
SAN,HA,701,16.36,16.45,0.7,3.34,7
SAN,G4,174,17.66,20.35,1.1,4.64,8
SAN,AA,8805,18.42,14.19,1.2,5.39,9
SAN,B6,1639,21.13,18.13,0.3,8.11,10
SAN,F9,3320,22.15,23.58,2.2,9.13,11
SAT,UA,5474,8.16,3.01,1.8,-3.58,1
SAT,WN,16408,9.07,3.44,0.6,-2.67,2
SAT,AS,614,9.67,6.99,0.7,-2.06,3
SAT,OO,994,10.56,8.72,0.8,-1.18,4
SAT,DL,6005,11.49,5.06,0.8,-0.24,5
SAT,MQ,259,12.79,8.41,1.2,1.05,6
SAT,AA,7954,16.18,14.30,1.8,4.44,7
SAT,YX,9,16.22,6.00,0.0,4.49,8
SAT,NK,2028,17.87,10.20,2.3,6.14,9
SAT,F9,648,22.57,15.17,2.8,10.84,10
SAT,B6,554,32.44,26.08,2.2,20.71,11
SAT,G4,22,74.50,74.91,0.0,62.76,12
SAV,OO,379,4.84,2.22,2.1,-7.27,1
SAV,F9,159,6.30,7.96,2.5,-5.81,2
SAV,YX,1112,7.31,2.02,0.8,-4.79,3
SAV,DL,3287,8.75,2.43,0.8,-3.35,4
SAV,MQ,966,9.28,5.44,0.8,-2.82,5
SAV,OH,3414,10.08,5.16,1.3,-2.03,6
SAV,WN,2825,10.59,5.61,0.6,-1.51,7
SAV,UA,1259,11.03,5.80,1.6,-1.08,8
SAV,9E,1819,14.62,6.96,3.8,2.52,9
SAV,G4,818,15.15,13.09,1.2,3.04,10
SAV,B6,890,16.91,13.26,1.1,4.81,11
SAV,AA,1881,25.12,19.16,2.5,13.01,12
SBA,AS,310,0.67,-0.17,1.0,-11.05,1
SBA,MQ,293,3.81,-0.82,1.0,-7.92,2
SBA,WN,1932,7.58,1.07,1.4,-4.14,3
SBA,OO,1763,10.34,7.55,1.5,-1.39,4
SBA,DL,611,14.78,7.82,0.5,3.06,5
SBA,UA,1480,15.24,10.77,2.3,3.51,6
SBA,AA,1024,20.70,17.17,1.4,8.98,7
SBN,AA,1,-10.00,7.00,0.0,-26.45,1
SBN,9E,9,-2.56,-13.22,0.0,-19.00,2
SBN,UA,24,7.71,1.42,0.0,-8.74,3
SBN,OH,1141,13.30,10.15,0.9,-3.15,4
SBN,G4,705,15.27,11.45,2.0,-1.18,5
SBN,YX,64,16.81,13.56,1.6,0.36,6
SBN,OO,4311,17.57,12.50,1.8,1.12,7
SBP,MQ,165,0.48,-2.88,0.0,-10.77,1
SBP,AS,62,7.23,7.19,0.0,-4.03,2
SBP,OO,3822,8.16,6.61,1.2,-3.09,3
SBP,UA,346,8.87,2.52,0.9,-2.39,4
SBP,AA,787,29.77,25.17,0.4,18.51,5
SCC,AS,523,-5.44,-5.75,3.4,0.00,1
SCE,OH,13,-2.55,-0.27,15.4,-15.27,1
SCE,YX,6,-1.67,10.50,0.0,-14.39,2
SCE,OO,531,13.21,9.39,1.5,0.49,3
SCK,G4,512,24.87,25.00,0.4,0.00,1
